,link_singer_belong,name_of_track,link_playlist_belong,uploaded_time,number_of_plays,number_of_repost,number_of_comment
0,https://soundcloud.com/solomun,Lana Del Rey - West Coast - Solomun Remix,https://soundcloud.com/digitalstreams/sets/deephousehits,21 May 2014,"203,439","11,999","5,918"
1,https://soundcloud.com/vintageculturemusic,Maverick Sabre - Slow Down (Slow Motion & Vintage Culture Remix),https://soundcloud.com/digitalstreams/sets/deephousehits,3 April 2020,"35,170","2,163",680
2,https://soundcloud.com/marckinchen,Lana Del Rey - Blue Jeans (MK Dark Blue Dub),https://soundcloud.com/digitalstreams/sets/deephousehits,5 August 2012,"80,683","9,919","1,309"
3,https://soundcloud.com/edm_podcast,Quarantine life w/ Destructo - Coronavirus Update,https://soundcloud.com/digitalstreams/sets/deephousehits,11 July 2020,"1,629",66,190
4,https://soundcloud.com/deepinkside,Timmy Turner ( Sexroom & Paniek Bootleg),https://soundcloud.com/digitalstreams/sets/deephousehits,20 October 2016,"102,659","6,531","4,618"
5,https://soundcloud.com/turborecordings,Azari & III - Hungry For The Power,https://soundcloud.com/digitalstreams/sets/deephousehits,22 May 2013,"5,229",174,129
6,https://soundcloud.com/elkoo,Cassius - The Sound Of Violence (Franco Cinelli Version),https://soundcloud.com/digitalstreams/sets/deephousehits,14 August 2011,"26,639","1,423",496
7,https://soundcloud.com/turborecordings,Duke Dumont - The Giver,https://soundcloud.com/digitalstreams/sets/deephousehits,5 September 2012,"203,685","29,243","2,450"
8,https://soundcloud.com/vintageculturemusic,Zhu - Faded (Vintage Culture & Zerb Remix),https://soundcloud.com/digitalstreams/sets/deephousehits,4 February 2015,"92,911","6,976","1,488"
9,https://soundcloud.com/destructoamf,Destructo & Misingo - This Is Our Home,https://soundcloud.com/digitalstreams/sets/deephousehits,26 June 2020,"9,690",393,343
10,https://soundcloud.com/westcoastradiotv,Black Lives do F*cking Matter!! (Murder on my Mind Podcast),https://soundcloud.com/digitalstreams/sets/deephousehits,24 June 2020,475,17,82
11,https://soundcloud.com/officialdigitalrecords,Habibi - The Frenchies (FREE DOWNLOAD),https://soundcloud.com/digitalstreams/sets/deephousehits,8 March 2019,"35,571",969,"1,260"
12,https://soundcloud.com/disciplesldn,Disciples - They Don't Know,https://soundcloud.com/digitalstreams/sets/deephousehits,1 September 2014,"153,887","24,410",819
13,https://soundcloud.com/domdolla,Rufus - Like An Animal (Dom Dolla Remix),https://soundcloud.com/digitalstreams/sets/deephousehits,10 November 2015,"28,808","2,786",305
14,https://soundcloud.com/hotnatured,Reverse Skydiving (feat. Anabel Englund),https://soundcloud.com/digitalstreams/sets/deephousehits,30 August 2013,"75,750","13,268","1,066"
15,https://soundcloud.com/theochampion,Ne - Yo Ft. Juicy J - She Knows (Kayliox Remix),https://soundcloud.com/digitalstreams/sets/deephousehits,28 November 2014,"53,962","2,082",221
16,https://soundcloud.com/ladsandgents,Phonique - Grass Is Greener feat. Antonia Vai (Club Mix),https://soundcloud.com/digitalstreams/sets/deephousehits,23 September 2016,"15,930",495,182
17,https://soundcloud.com/t-e-e-d,Disclosure - F For You (Totally Enormous Extinct Dinosaurs remix),https://soundcloud.com/digitalstreams/sets/deephousehits,16 July 2013,"69,476","15,054","1,655"
18,https://soundcloud.com/3beat,Philip George - Wish You Were Mine (Radio Edit),https://soundcloud.com/digitalstreams/sets/deephousehits,21 October 2014,"68,549","5,276",368
19,https://soundcloud.com/calvinharris,Calvin Harris feat Haim - Pray To God (Mike Pickering vs Calvin Harris Hacienda Remix),https://soundcloud.com/digitalstreams/sets/deephousehits,11 February 2015,"145,804","19,509","1,074"
20,https://soundcloud.com/iamdenm,Lit,https://soundcloud.com/digitalstreams/sets/deephousehits,2 May 2016,"27,735","5,313",382
21,https://soundcloud.com/leyouth,Le Youth - C O O L (Ben Pearce Remix),https://soundcloud.com/digitalstreams/sets/deephousehits,13 May 2013,"43,278","8,544",588
22,https://soundcloud.com/themagician,Sunlight (feat. Years and Years) (Extended Club Mix),https://soundcloud.com/digitalstreams/sets/deephousehits,15 September 2014,"95,196","18,934",937
23,https://soundcloud.com/whtkd,WHTKD - Say To Me,https://soundcloud.com/digitalstreams/sets/deephousehits,18 April 2015,"184,552","20,326","1,037"
24,https://soundcloud.com/i_d_magazine,Premiere: Lane 8 - Loving You Ft. Lulu James (Moon Boots Remix),https://soundcloud.com/digitalstreams/sets/deephousehits,16 July 2015,"11,780","2,218",191
25,https://soundcloud.com/paulwoolford,Hang Up Your Hang Ups feat Kim English - out now,https://soundcloud.com/digitalstreams/sets/deephousehits,13 July 2018,"10,093",835,104
26,https://soundcloud.com/weissuk,Feel My Needs (Original Mix),https://soundcloud.com/digitalstreams/sets/deephousehits,1 June 2018,"47,284","2,865",270
