,name,support_name,location,number_of_follower,numbert_of_following,number_of_tracks,number_of_likes,number_of_commets,link_of_user_owner
0,Westcoast Radio (EDM) Pro Unlimited,Curated by DJ MTK,San Diego | L.A. | S.F.,32.3K,"1,922",31,182,334,https://soundcloud.com/digitalstreams
1,solomun Pro Unlimited,Mladen Solomun,Portugal,642K,0,83,,,https://soundcloud.com/solomun
2,Vintage Culture Pro Unlimited,LukasRuiz,,576K,367,233,369,"3,295",https://soundcloud.com/vintageculturemusic
3,MK (Marc Kinchen),Marc Kinchen,"Los Angeles, CA, United States",331K,59,170,98,23,https://soundcloud.com/marckinchen
4,EDM Un-Plugged Podcast,Westcoast Radio,San Diego,337,115,15,15,84,https://soundcloud.com/edm_podcast
5,Deepink Side,"Deepink Side By Deepink, Brazil",,53.1K,104,85,259,232,https://soundcloud.com/deepinkside
6,Turbo Recordings Pro Unlimited,Turbo Recordings,"Montreal, Canada",89.9K,393,"1,500",210,63,https://soundcloud.com/turborecordings
7,elkoo,"Vilnius, Lithuania",,976,33,17,376,142,https://soundcloud.com/elkoo
8,Turbo Recordings Pro Unlimited,Turbo Recordings,"Montreal, Canada",89.9K,393,"1,500",210,63,https://soundcloud.com/turborecordings
9,Vintage Culture Pro Unlimited,LukasRuiz,,576K,367,233,369,"3,295",https://soundcloud.com/vintageculturemusic
10,Destructo Pro Unlimited,Destructo,Earth,125K,723,87,243,31,https://soundcloud.com/destructoamf
11,Westcoast Radio,Curated by DJ MTK,"San Diego, United States","6,601",747,19,199,275,https://soundcloud.com/westcoastradiotv
12,Digital Records Pro Unlimited,Soundcloud Distribution,San Diego,"8,852","1,162",18,93,"1,791",https://soundcloud.com/officialdigitalrecords
13,DisciplesLDN Pro Unlimited,Disciples,London,48.2K,14,100,18,4,https://soundcloud.com/disciplesldn
14,⠶ Dom Dolla ⠶ Pro Unlimited,DOM DOLLA - /////,"Melbourne, Australia",72.5K,303,38,"1,055",501,https://soundcloud.com/domdolla
15,Hot Natured,Hot Natured,London/LA,338K,7,45,,11,https://soundcloud.com/hotnatured
16,Theo Champion,Theo Champion,"Paris, France",714,294,12,"1,676",26,https://soundcloud.com/theochampion
17,Ladies & Gentlemen Berlin,Ladies & Gentlemen,"Berlin, Germany","3,079",28,136,10,,https://soundcloud.com/ladsandgents
18,Totally Enormous Extinct Dinosaurs Pro Unlimited,Totally Enormous Extinct Dinosaurs,Oxford,705K,325,109,34,46,https://soundcloud.com/t-e-e-d
19,3BEAT Pro Unlimited,Liverpool,,42K,23,"1,525",87,22,https://soundcloud.com/3beat
20,Calvin Harris Pro Unlimited,Calvin Harris,"Dumfries, Scotland",7.16M,0,311,,3,https://soundcloud.com/calvinharris
21,DENM,"Huntington Beach, CA",,"7,899",0,27,8,3,https://soundcloud.com/iamdenm
22,Le Youth Pro Unlimited,Wes James,"Los Angeles, United States",79.8K,42,93,43,,https://soundcloud.com/leyouth
23,The Magician Pro Unlimited,Brussels,,250K,187,209,245,61,https://soundcloud.com/themagician
24,WHTKD Pro,Germany,,43K,50,5,885,418,https://soundcloud.com/whtkd
25,i-D,London,,217K,686,"1,896",2,49,https://soundcloud.com/i_d_magazine
26,Paul Woolford Pro,Special Request,Everywhere,71.4K,"1,576",82,53,53,https://soundcloud.com/paulwoolford
27,Weiss (UK) Pro Unlimited,Weiss,London,48.1K,63,112,81,100,https://soundcloud.com/weissuk
